Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01440,20610,41,49679,28208,2698,13.09073265
01450,11313,45.6,129085,58468,426,3.765579422
01451,4731,46.4,162619,70797,107,2.261678292
01452,4708,46.1,91734,37857,292,6.202209006
01453,41647,40.5,61887,33746,5186,12.45227747
01460,10071,44.7,123413,55083,475,4.716512759
01462,11402,44.3,103228,44134,650,5.700754254
01463,12105,44,104130,47279,603,4.981412639
01464,7633,47.2,76875,35543,278,3.64208044
01467,276,57.1,-666666666,57688,0,0
01468,4062,46,73246,42111,192,4.726735598
01469,7670,40.5,91964,40677,275,3.585397653
01473,7766,44.3,100972,44228,198,2.549575071
01474,1803,51.1,90302,51399,81,4.492512479
01475,10825,37.8,80267,32312,1112,10.27251732
01501,16619,45,85432,42126,512,3.08081112
01503,3182,49.7,99297,49929,134,4.211187932
01504,9263,41.7,95375,40889,352,3.800064774
01505,4623,45.2,97591,48655,175,3.785420722
01506,3441,44,70338,36953,107,3.109561174
01507,13550,43.3,101111,42727,646,4.767527675
01510,13935,37.2,67634,33796,1127,8.087549336
01515,2040,37.8,82946,34840,112,5.490196078
01516,8859,44.1,99943,43562,309,3.487978327
01518,3947,38.3,72470,37510,238,6.029896124
01519,7042,41.7,109670,49031,305,4.331155922
01520,15781,43.2,109529,48778,532,3.371142513
01521,2630,45.5,82179,38601,131,4.980988593
01522,3270,44.3,108036,45049,260,7.951070336
01523,7794,39.2,93385,33269,276,3.541185527
01524,6654,42.3,81042,36011,505,7.589419898
01525,544,27.5,40947,20550,61,11.21323529
01527,13732,44.9,85781,42500,592,4.311098165
01529,3256,41.3,79129,38338,233,7.156019656
01531,1211,48.8,91125,38676,131,10.81750619
01532,15056,43.4,128613,60688,389,2.583687566
01534,6296,45.2,102284,45059,335,5.320838628
01535,4774,44.2,78750,37047,161,3.372434018
01536,7576,39.7,109329,47453,674,8.896515312
01537,2201,38.7,64975,33309,213,9.677419355
01540,11581,39.7,77184,34735,973,8.401692427
01541,3455,49.7,136083,60843,165,4.77568741
01542,2567,40.4,106250,39049,41,1.597195169
01543,8685,39.2,107928,39751,255,2.936096718
01545,37086,41.9,105014,48516,1459,3.934099121
01550,16887,39.3,51270,26661,3460,20.48913365
01560,4396,39.2,88750,47011,208,4.731574158
01561,209,67.4,-666666666,41971,0,0
01562,11928,45.7,72821,34389,969,8.123742455
01564,8091,46.8,121458,54066,229,2.830305277
01566,5592,46.3,86731,42860,286,5.114449213
01568,7894,42.4,128796,56909,199,2.520901951
01569,14025,42.4,107740,41546,1069,7.622103387
01570,16973,42.2,62281,32001,1582,9.320685795
01571,11723,38.4,69071,31747,594,5.066962382
01581,19037,38.8,112153,55718,870,4.570047802
01583,7693,42.2,90688,35560,523,6.798388145
01585,4569,46.2,63182,34634,185,4.049026045
01588,9750,38.1,76250,34749,560,5.743589744
01590,9404,44.1,104710,48029,268,2.849851127
01602,22900,41.5,64942,36792,2778,12.13100437
01603,19731,36.1,42904,24415,3885,19.68982819
01604,38191,34.7,55665,29183,6114,16.00900736
01605,28533,32.6,40390,23003,7398,25.92787299
01606,19896,41.3,65708,35354,2064,10.37394451
